Size, Kernel, tlc, Gflops
128, 3, , 0.131
128, 5, , 0.332
256, 3, , 0.274
256, 5, , 0.36
512, 3, , 0.352
512, 5, , 0.389
1024, 3, , 0.348
1024, 5, , 0.388
2048, 3, , 0.346
2048, 5, , 0.386
128, 3, , 0.181596
128, 5, , 0.18438
256, 3, , 0.232856
256, 5, , 0.330123
512, 3, , 0.343971
512, 5, , 0.388189
1024, 3, , 0.300629
1024, 5, , 0.386577
2048, 3, , 0.346274
2048, 5, , 0.385966
4096, 3, , 0.345801
4096, 5, , 0.382394
8192, 3, , 0.347242
8192, 5, , 0.385217
16384, 3, , 0.347819
16384, 5, , 0.353789
